==========================================================================================
DNS data of zero-pressure-gradient turbulent boundary-layer at Mach=0.30,
further Mach-number data between Mach=0.30 and 2.50 are available in additional files.
==========================================================================================
Version 1.0 (Nov 16, 2018): create file by Christoph Wenzel

------------------------------------------------------------------------------------------
References:                                                                             
- DNS of compressible turbulent boundary layers and assessment of data/scaling-law quality
  Wenzel et al., 2018, J. Fluid Mech., 842

Notes:                                                                                  
- If you are interested in data that are not listed in the table below (e.g. turbulent  
  Mach number, Favre fluctuations, ... ), please feel free to contact me by email at    
  wenzel@iag.uni-stuttgart.de.                                                          
  The available data are computed as postprocessing of transient data, from which I can 
  calculate further data at any time.                                                   
- If you notice any discrepancies in the available data, I would be pleased to receive  
  a brief notification (wenzel@iag.uni-stuttgart.de), I may have made mistakes in their 
  writing out.                                                                          
------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------
Boundary-layer parameter:
------------------------------------------------------------------------------------------
Skin-friction coef.     =    0.0047363

------------------------------------------------------------------------------------------
Reynolds numbers:
------------------------------------------------------------------------------------------
Re_tau                  =     252.1983
Re_delta99              =    5287.6607
Re_deltaStar            =     986.6522
Re_deltaStar_w          =     959.4301
Re_theta                =     635.2817
Re_theta_w              =     627.5684

------------------------------------------------------------------------------------------
Shape factors:
------------------------------------------------------------------------------------------
deltaStar     / delta99 =       0.1866
deltaStar_inc / delta99 =       0.1829
theta         / delta99 =       0.1201
theta_inc     / delta99 =       0.1210
H12                     =       1.5531
H12_inc                 =       1.5117

------------------------------------------------------------------------------------------
Turbulent quantities:
------------------------------------------------------------------------------------------
u_rms+_max              =       2.7144
y+(u_rms+_max)          =      13.5765

------------------------------------------------------------------------------------------
Wall-normal profiles up to y/delta99 <= 4:
------------------------------------------------------------------------------------------
y/delta_99             y+           u+        u_vd+           v+      u_rms+      v_rms+      w_rms+         uv+      t_rms+    rho_rms+  sqrt(r/r_w)       omx+        omy+        omz+       u/u_e        v/u_e       T/T_e       r/r_e       p/p_e     mu/mu_e     nu/nu_e       a/a_e
 0.0000000      0.0000000    0.0000000    0.0000000    0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   2.0094596   0.0010232   1.0000000   0.2534244   0.0000000   0.3995135   0.0000000    0.0000000   1.0158785   0.9843614   0.9999917   1.0122909   1.0283732   1.0079080
 0.0032286      0.8142379    0.8156162    0.8156211   -0.0000021   0.3253445   0.0060111   0.1872699  -0.0005369   2.0098137   0.0010229   1.0000122   0.2077783   0.0231436   0.3983839   0.0400051   -0.0000001   1.0158540   0.9843851   0.9999917   1.0122720   1.0283293   1.0078958
 0.0065649      1.6556636    1.6580207    1.6580516    0.0000118   0.6591748   0.0224839   0.3459985  -0.0048428   2.0278686   0.0010248   1.0000504   0.1718967   0.0472370   0.3957678   0.0813241    0.0000006   1.0157773   0.9844593   0.9999915   1.0122128   1.0281917   1.0078578
 0.0100127      2.5251849    2.5215893    2.5216915    0.0000359   0.9956503   0.0471365   0.4804809  -0.0172547   2.1094567   0.0010360   1.0001164   0.1433824   0.0715482   0.3860199   0.1236812    0.0000018   1.0156446   0.9845874   0.9999910   1.0121105   1.0279540   1.0077919
 0.0135756      3.4237400    3.3977859    3.3980299    0.0000754   1.3244001   0.0780580   0.5939252  -0.0416834   2.3122087   0.0010685   1.0002108   0.1240736   0.0951714   0.3685567   0.1666577    0.0000037   1.0154545   0.9847707   0.9999899   1.0119639   1.0276138   1.0076976
 0.0172574      4.3522983    4.2744818    4.2749619    0.0001340   1.6322382   0.1135032   0.6897122  -0.0799873   2.6672040   0.0011342   1.0003325   0.1152522   0.1170824   0.3453797   0.2096587    0.0000066   1.0152088   0.9850072   0.9999879   1.0117744   1.0271747   1.0075757
 0.0210622      5.3118616    5.1373958    5.1382233    0.0002164   1.9068921   0.1522307   0.7711115  -0.1316408   3.1578666   0.0012370   1.0004786   0.1150538   0.1364049   0.3213598   0.2519836    0.0000106   1.0149130   0.9852915   0.9999848   1.0115462   1.0266466   1.0074289
 0.0249941      6.3034651    5.9724522    5.9737463    0.0003244   2.1403387   0.1932438   0.8409525  -0.1939586   3.7376979   0.0013704   1.0006448   0.1199037   0.1526278   0.3009771   0.2929422    0.0000159   1.0145756   0.9856154   0.9999806   1.0112859   1.0260452   1.0072615
 0.0290572      7.3281788    6.7676469    6.7695236    0.0004584   2.3294795   0.2356888   0.9016132  -0.2629573   4.3553826   0.0015237   1.0008258   0.1265866   0.1656047   0.2859607   0.3319457    0.0000225   1.0142073   0.9859684   0.9999752   1.0110017   1.0253895   1.0070786
 0.0332560      8.3871082    7.5141467    7.5167097    0.0006166   2.4752508   0.2790188   0.9549074  -0.3346260   4.9698472   0.0016850   1.0010160   0.1331850   0.1754613   0.2755729   0.3685607    0.0000302   1.0138190   0.9863400   0.9999685   1.0107020   1.0246994   1.0068858
 0.0375950      9.4813958    8.2066185    8.2099525    0.0007960   2.5812859   0.3227162   1.0020697  -0.4053539   5.5520878   0.0018445   1.0012102   0.1388756   0.1824976   0.2679689   0.4025257    0.0000390   1.0134212   0.9867199   0.9999606   1.0103949   1.0239937   1.0066883
 0.0420789     10.6122221    8.8429412    8.8471087    0.0009930   2.6526033   0.3664466   1.0439128  -0.4725140   6.0840858   0.0019955   1.0014039   0.1434320   0.1870987   0.2614292   0.4337366    0.0000487   1.0130231   0.9870994   0.9999516   1.0100875   1.0232885   1.0064905
 0.0467125     11.7808073    9.4235851    9.4286266    0.0012042   2.6946397   0.4098994   1.0809744  -0.5343571   6.5564219   0.0021335   1.0015935   0.1469110   0.1896654   0.2548908   0.4622165    0.0000591   1.0126318   0.9874714   0.9999415   1.0097853   1.0225970   1.0062961
 0.0515008     12.9884121    9.9508910    9.9568266    0.0014265   2.7126532   0.4528388   1.1136511  -0.5899864   6.9656459   0.0022565   1.0017765   0.1494616   0.1905698   0.2479115   0.4880803    0.0000700   1.0122527   0.9878307   0.9999304   1.0094925   1.0219287   1.0061077
