==========================================================================================
DNS data of zero-pressure-gradient turbulent boundary-layer at Mach=0.50,
further Mach-number data between Mach=0.30 and 2.50 are available in additional files.
==========================================================================================
Version 1.0 (Nov 16, 2018): create file by Christoph Wenzel

------------------------------------------------------------------------------------------
References:                                                                             
- DNS of compressible turbulent boundary layers and assessment of data/scaling-law quality
  Wenzel et al., 2018, J. Fluid Mech., 842

Notes:                                                                                  
- If you are interested in data that are not listed in the table below (e.g. turbulent  
  Mach number, Favre fluctuations, ... ), please feel free to contact me by email at    
  wenzel@iag.uni-stuttgart.de.                                                          
  The available data are computed as postprocessing of transient data, from which I can 
  calculate further data at any time.                                                   
- If you notice any discrepancies in the available data, I would be pleased to receive  
  a brief notification (wenzel@iag.uni-stuttgart.de), I may have made mistakes in their 
  writing out.                                                                          
------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------
Boundary-layer parameter:
------------------------------------------------------------------------------------------
Skin-friction coef.     =    0.0046278

------------------------------------------------------------------------------------------
Reynolds numbers:
------------------------------------------------------------------------------------------
Re_tau                  =     252.1860
Re_delta99              =    5539.3966
Re_deltaStar            =    1070.2192
Re_deltaStar_w          =     991.1933
Re_theta                =     656.6255
Re_theta_w              =     635.0427

------------------------------------------------------------------------------------------
Shape factors:
------------------------------------------------------------------------------------------
deltaStar     / delta99 =       0.1932
deltaStar_inc / delta99 =       0.1830
theta         / delta99 =       0.1185
theta_inc     / delta99 =       0.1208
H12                     =       1.6299
H12_inc                 =       1.5145

------------------------------------------------------------------------------------------
Turbulent quantities:
------------------------------------------------------------------------------------------
u_rms+_max              =       2.7016
y+(u_rms+_max)          =      13.5928

------------------------------------------------------------------------------------------
Wall-normal profiles up to y/delta99 <= 4:
------------------------------------------------------------------------------------------
y/delta_99             y+           u+        u_vd+           v+      u_rms+      v_rms+      w_rms+         uv+      t_rms+    rho_rms+  sqrt(r/r_w)       omx+        omy+        omz+       u/u_e        v/u_e       T/T_e       r/r_e       p/p_e     mu/mu_e     nu/nu_e       a/a_e
 0.0000000      0.0000000    0.0000000    0.0000000    0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   1.8520267   0.0022961   1.0000000   0.2540433   0.0000000   0.4001816   0.0000000    0.0000000   1.0442016   0.9576358   0.9999653   1.0339864   1.0797281   1.0218618
 0.0030824      0.7773479    0.7779885    0.7780002    0.0000022   0.3097202   0.0057258   0.1795187  -0.0004694   1.8520269   0.0022943   1.0000302   0.2096242   0.0224973   0.3968627   0.0382425    0.0000001   1.0441388   0.9576934   0.9999653   1.0339386   1.0796134   1.0218311
 0.0062678      1.5806517    1.5811917    1.5812652    0.0000292   0.6265531   0.0212424   0.3325990  -0.0042316   1.8663183   0.0022985   1.0001245   0.1743670   0.0458462   0.3939897   0.0777244    0.0000014   1.0439430   0.9578727   0.9999649   1.0337896   1.0792557   1.0217353
 0.0095595      2.4107783    2.4054840    2.4057264    0.0000761   0.9466673   0.0445906   0.4631086  -0.0150944   1.9378184   0.0023295   1.0002873   0.1461288   0.0694994   0.3859159   0.1182430    0.0000037   1.0436046   0.9581823   0.9999637   1.0335321   1.0786382   1.0215697
 0.0129612      3.2686232    3.2437928    3.2443726    0.0001514   1.2617768   0.0740354   0.5739962  -0.0366882   2.1233206   0.0024212   1.0005208   0.1264646   0.0926810   0.3708581   0.1594506    0.0000074   1.0431187   0.9586264   0.9999609   1.0331622   1.0777527   1.0213318
 0.0164764      4.1551120    4.0856416    4.0867856    0.0002605   1.5603248   0.1079431   0.6682757  -0.0709903   2.4561853   0.0026072   1.0008235   0.1166658   0.1144345   0.3497852   0.2008321    0.0000128   1.0424880   0.9592026   0.9999560   1.0326819   1.0766046   1.0210230
 0.0201090      5.0712011    4.9184150    4.9203959    0.0004115   1.8309170   0.1451398   0.7487999  -0.1179502   2.9241011   0.0028990   1.0011899   0.1155024   0.1339029   0.3269324   0.2417676    0.0000202   1.0417238   0.9599005   0.9999484   1.0320999   1.0752155   1.0206487
 0.0238629      6.0178788    5.7292227    5.7323385    0.0006049   2.0653348   0.1847028   0.8180962  -0.1755671   3.4843286   0.0032795   1.0016104   0.1199111   0.1505371   0.3067066   0.2816233    0.0000297   1.0408460   0.9607022   0.9999378   1.0314310   1.0736220   1.0202186
 0.0277421      6.9961666    6.5065544    6.5111030    0.0008391   2.2596031   0.2257939   0.8783713  -0.2404217   4.0887538   0.0037178   1.0020730   0.1267752   0.1641245   0.2913288   0.3198335    0.0000412   1.0398796   0.9615848   0.9999241   1.0306944   1.0718704   1.0197449
 0.0317509      8.0071199    7.2414099    7.2476661    0.0011078   2.4135471   0.2678929   0.9314208  -0.3088720   4.6973315   0.0041812   1.0025642   0.1340043   0.1747151   0.2805379   0.3559558    0.0000545   1.0388521   0.9625231   0.9999072   1.0299108   1.0700115   1.0192409
