==========================================================================================
DNS data of zero-pressure-gradient turbulent boundary-layer at Mach=0.70,
further Mach-number data between Mach=0.30 and 2.50 are available in additional files.
==========================================================================================
Version 1.0 (Nov 16, 2018): create file by Christoph Wenzel

------------------------------------------------------------------------------------------
References:                                                                             
- DNS of compressible turbulent boundary layers and assessment of data/scaling-law quality
  Wenzel et al., 2018, J. Fluid Mech., 842

Notes:                                                                                  
- If you are interested in data that are not listed in the table below (e.g. turbulent  
  Mach number, Favre fluctuations, ... ), please feel free to contact me by email at    
  wenzel@iag.uni-stuttgart.de.                                                          
  The available data are computed as postprocessing of transient data, from which I can 
  calculate further data at any time.                                                   
- If you notice any discrepancies in the available data, I would be pleased to receive  
  a brief notification (wenzel@iag.uni-stuttgart.de), I may have made mistakes in their 
  writing out.                                                                          
------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------
Boundary-layer parameter:
------------------------------------------------------------------------------------------
Skin-friction coef.     =    0.0033305

------------------------------------------------------------------------------------------
Reynolds numbers:
------------------------------------------------------------------------------------------
Re_tau                  =     670.8955
Re_delta99              =   18268.9710
Re_deltaStar            =    3534.0338
Re_deltaStar_w          =    3050.8425
Re_theta                =    2153.5986
Re_theta_w              =    2020.2928

------------------------------------------------------------------------------------------
Shape factors:
------------------------------------------------------------------------------------------
deltaStar     / delta99 =       0.1934
deltaStar_inc / delta99 =       0.1732
theta         / delta99 =       0.1179
theta_inc     / delta99 =       0.1223
H12                     =       1.6410
H12_inc                 =       1.4170

------------------------------------------------------------------------------------------
Turbulent quantities:
------------------------------------------------------------------------------------------
u_rms+_max              =       2.7753
y+(u_rms+_max)          =      14.3069

------------------------------------------------------------------------------------------
Wall-normal profiles up to y/delta99 <= 4:
------------------------------------------------------------------------------------------
y/delta_99             y+           u+        u_vd+           v+      u_rms+      v_rms+      w_rms+         uv+      t_rms+    rho_rms+  sqrt(r/r_w)       omx+        omy+        omz+       u/u_e        v/u_e       T/T_e       r/r_e       p/p_e     mu/mu_e     nu/nu_e       a/a_e
 0.0000000      0.0000000    0.0000000    0.0000000    0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   2.1893367   0.0028826   1.0000000   0.2555956   0.0000000   0.3978842   0.0000000    0.0000000   1.0866661   0.9202367   0.9999873   1.0659834   1.1583796   1.0424328
 0.0009346      0.6270456    0.6272658    0.6272747    0.0000019   0.2563058   0.0040622   0.1633503  -0.0002408   2.1901694   0.0028777   1.0000282   0.2132324   0.0214746   0.3943418   0.0266835    0.0000001   1.0866047   0.9202886   0.9999872   1.0659376   1.1582644   1.0424033
 0.0019005      1.2750287    1.2751025    1.2751581    0.0000150   0.5191122   0.0160384   0.3078692  -0.0022924   2.1984506   0.0028748   1.0001160   0.1788084   0.0437401   0.3918238   0.0542421    0.0000006   1.0864136   0.9204503   0.9999870   1.0657950   1.1579061   1.0423117
 0.0028986      1.9446481    1.9420906    1.9422746    0.0000373   0.7868253   0.0343596   0.4354446  -0.0083486   2.2327438   0.0028935   1.0002679   0.1506544   0.0663875   0.3855016   0.0826154    0.0000016   1.0860828   0.9207299   0.9999859   1.0655480   1.1572863   1.0421530
 0.0039300      2.6366265    2.6253009    2.6257436    0.0000733   1.0555572   0.0578953   0.5476591  -0.0207526   2.3228694   0.0029642   1.0004876   0.1302190   0.0887823   0.3732247   0.1116788    0.0000031   1.0856042   0.9211340   0.9999835   1.0651908   1.1563907   1.0419233
 0.0049959      3.3517104    3.3198910    3.3207743    0.0001277   1.3190934   0.0854865   0.6462550  -0.0412951   2.4993411   0.0031242   1.0007768   0.1190132   0.1100994   0.3551806   0.1412263    0.0000054   1.0849741   0.9216658   0.9999790   1.0647203   1.1552130   1.0416209
 0.0060973      4.0906713    4.0193896    4.0209439    0.0002074   1.5703345   0.1162742   0.7329880  -0.0709256   2.7783729   0.0033997   1.0011345   0.1165081   0.1295587   0.3344882   0.1709826    0.0000088   1.0841946   0.9223236   0.9999719   1.0641381   1.1537579   1.0412467
 0.0072356      4.8543065    4.7162894    4.7187857    0.0003161   1.8027776   0.1495508   0.8095242  -0.1095504   3.1543849   0.0037928   1.0015570   0.1201365   0.1465981   0.3148697   0.2006283    0.0000134   1.0832747   0.9231001   0.9999618   1.0634508   1.1520427   1.0408048
 0.0084118      5.6434398    5.4027760    5.4065120    0.0004565   2.0114966   0.1846365   0.8774223  -0.1560063   3.6054529   0.0042856   1.0020375   0.1267691   0.1609255   0.2987810   0.2298310    0.0000194   1.0822293   0.9239831   0.9999484   1.0626693   1.1500960   1.0403025
 0.0096273      6.4589227    6.0714303    6.0767139    0.0006279   2.1934792   0.2210918   0.9380444  -0.2085619   4.1036110   0.0048489   1.0025673   0.1340820   0.1724837   0.2867687   0.2582752    0.0000267   1.0810780   0.9249560   0.9999313   1.0618082   1.1479554   1.0397490
