==========================================================================================
DNS data of zero-pressure-gradient turbulent boundary-layer at Mach=0.85,
further Mach-number data between Mach=0.30 and 2.50 are available in additional files.
==========================================================================================
Version 1.0 (Nov 16, 2018): create file by Christoph Wenzel

------------------------------------------------------------------------------------------
References:                                                                             
- DNS of compressible turbulent boundary layers and assessment of data/scaling-law quality
  Wenzel et al., 2018, J. Fluid Mech., 842

Notes:                                                                                  
- If you are interested in data that are not listed in the table below (e.g. turbulent  
  Mach number, Favre fluctuations, ... ), please feel free to contact me by email at    
  wenzel@iag.uni-stuttgart.de.                                                          
  The available data are computed as postprocessing of transient data, from which I can 
  calculate further data at any time.                                                   
- If you notice any discrepancies in the available data, I would be pleased to receive  
  a brief notification (wenzel@iag.uni-stuttgart.de), I may have made mistakes in their 
  writing out.                                                                          
------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------
Boundary-layer parameter:
------------------------------------------------------------------------------------------
Skin-friction coef.     =    0.0038947

------------------------------------------------------------------------------------------
Reynolds numbers:
------------------------------------------------------------------------------------------
Re_tau                  =     359.1119
Re_delta99              =    9477.3548
Re_deltaStar            =    1959.9088
Re_deltaStar_w          =    1584.5153
Re_theta                =    1088.5641
Re_theta_w              =     992.7435

------------------------------------------------------------------------------------------
Shape factors:
------------------------------------------------------------------------------------------
deltaStar     / delta99 =       0.2068
deltaStar_inc / delta99 =       0.1780
theta         / delta99 =       0.1149
theta_inc     / delta99 =       0.1211
H12                     =       1.8005
H12_inc                 =       1.4692

------------------------------------------------------------------------------------------
Turbulent quantities:
------------------------------------------------------------------------------------------
u_rms+_max              =       2.6778
y+(u_rms+_max)          =      13.7331

------------------------------------------------------------------------------------------
Wall-normal profiles up to y/delta99 <= 4:
------------------------------------------------------------------------------------------
y/delta_99             y+           u+        u_vd+           v+      u_rms+      v_rms+      w_rms+         uv+      t_rms+    rho_rms+  sqrt(r/r_w)       omx+        omy+        omz+       u/u_e        v/u_e       T/T_e       r/r_e       p/p_e     mu/mu_e     nu/nu_e       a/a_e
 0.0000000      0.0000000    0.0000000    0.0000000    0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   1.8231670   0.0044579   1.0000000   0.2572516   0.0000000   0.3980320   0.0000000    0.0000000   1.1279684   0.8864975   0.9999376   1.0965210   1.2369138   1.0620586
 0.0018020      0.6471183    0.6472962    0.6473128    0.0000038   0.2580973   0.0042309   0.1588927  -0.0002785   1.8237929   0.0044506   1.0000513   0.2167213   0.0205111   0.3943508   0.0303379    0.0000002   1.1278528   0.8865883   0.9999376   1.0964363   1.2366915   1.0620042
 0.0036642      1.3158443    1.3157692    1.3158734    0.0000260   0.5227558   0.0163782   0.2986524  -0.0025561   1.8326662   0.0044502   1.0002110   0.1833100   0.0417722   0.3919885   0.0616683    0.0000012   1.1274928   0.8868711   0.9999371   1.0961725   1.2359997   1.0618346
 0.0055885      2.0068993    2.0038638    2.0042083    0.0000642   0.7924679   0.0350161   0.4212423  -0.0092094   1.8723010   0.0044942   1.0004876   0.1555020   0.0634786   0.3868224   0.0939183    0.0000030   1.1268690   0.8873608   0.9999353   1.0957154   1.2348025   1.0615409
 0.0075771      2.7210289    2.7082760    2.7091053    0.0001271   1.0630792   0.0589673   0.5282841  -0.0227658   1.9779679   0.0046415   1.0008879   0.1344520   0.0851178   0.3764976   0.1269331    0.0000060   1.1259666   0.8880695   0.9999310   1.0950538   1.2330722   1.0611157
 0.0096321      3.4590038    3.4235653    3.4252192    0.0002235   1.3277798   0.0870526   0.6215625  -0.0451290   2.1828401   0.0049624   1.0014149   0.1216837   0.1059767   0.3605164   0.1604577    0.0000105   1.1247788   0.8890031   0.9999230   1.0941828   1.2307975   1.0605559
 0.0117557      4.2216199    4.1424898    4.1453973    0.0003663   1.5787100   0.1183895   0.7029025  -0.0772312   2.4993556   0.0055014   1.0020665   0.1173255   0.1253321   0.3411389   0.1941527    0.0000172   1.1233115   0.8901582   0.9999104   1.0931060   1.2279906   1.0598639
 0.0139502      5.0097002    4.8567053    4.8613673    0.0005623   1.8086489   0.1522426   0.7740919  -0.1188101   2.9141335   0.0062544   1.0028349   0.1196023   0.1426111   0.3217312   0.2276270    0.0000264   1.1215834   0.8915215   0.9998924   1.0918370   1.2246894   1.0590484
 0.0162181      5.8240949    5.5576339    5.5645953    0.0008160   2.0122537   0.1879199   0.8368416  -0.1684208   3.3986901   0.0071800   1.0037064   0.1257005   0.1574691   0.3051015   0.2604786    0.0000382   1.1196259   0.8930697   0.9998684   1.0903983   1.2209554   1.0581237
 0.0185616      6.6656826    6.2372904    6.2471067    0.0011262   2.1865351   0.2249664   0.8926720  -0.2240035   3.9216483   0.0082197   1.0046634   0.1331495   0.1697826   0.2924332   0.2923331    0.0000528   1.1174792   0.8947719   0.9998380   1.0888191   1.2168678   1.0571089
