==========================================================================================
DNS data of zero-pressure-gradient turbulent boundary-layer at Mach=2.00,
further Mach-number data between Mach=0.30 and 2.50 are available in additional files.
==========================================================================================
Version 1.0 (Nov 16, 2018): create file by Christoph Wenzel

------------------------------------------------------------------------------------------
References:                                                                             
- DNS of compressible turbulent boundary layers and assessment of data/scaling-law quality
  Wenzel et al., 2018, J. Fluid Mech., 842

Notes:                                                                                  
- If you are interested in data that are not listed in the table below (e.g. turbulent  
  Mach number, Favre fluctuations, ... ), please feel free to contact me by email at    
  wenzel@iag.uni-stuttgart.de.                                                          
  The available data are computed as postprocessing of transient data, from which I can 
  calculate further data at any time.                                                   
- If you notice any discrepancies in the available data, I would be pleased to receive  
  a brief notification (wenzel@iag.uni-stuttgart.de), I may have made mistakes in their 
  writing out.                                                                          
------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------
Boundary-layer parameter:
------------------------------------------------------------------------------------------
Skin-friction coef.     =    0.0031801

------------------------------------------------------------------------------------------
Reynolds numbers:
------------------------------------------------------------------------------------------
Re_tau                  =     252.0419
Re_delta99              =   12210.2525
Re_deltaStar            =    3673.0940
Re_deltaStar_w          =    1453.9944
Re_theta                =    1115.4988
Re_theta_w              =     755.1263

------------------------------------------------------------------------------------------
Shape factors:
------------------------------------------------------------------------------------------
deltaStar     / delta99 =       0.3008
deltaStar_inc / delta99 =       0.1751
theta         / delta99 =       0.0914
theta_inc     / delta99 =       0.1170
H12                     =       3.2928
H12_inc                 =       1.4968

------------------------------------------------------------------------------------------
Turbulent quantities:
------------------------------------------------------------------------------------------
u_rms+_max              =       2.5854
y+(u_rms+_max)          =      12.3083

------------------------------------------------------------------------------------------
Wall-normal profiles up to y/delta99 <= 4:
------------------------------------------------------------------------------------------
y/delta_99             y+           u+        u_vd+           v+      u_rms+      v_rms+      w_rms+         uv+      t_rms+    rho_rms+  sqrt(r/r_w)       omx+        omy+        omz+       u/u_e        v/u_e       T/T_e       r/r_e       p/p_e     mu/mu_e     nu/nu_e       a/a_e
 0.0000000      0.0000000    0.0000000    0.0000000    0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   1.5424328   0.0169176   1.0000000   0.2629890   0.0000000   0.4013741   0.0000000    0.0000000   1.7097146   0.5847634   0.9997406   1.4772347   2.5262093   1.3075605
 0.0014006      0.3530005    0.3530018    0.3530139    0.0000097   0.1411916   0.0022076   0.0886516  -0.0000670   1.5427592   0.0169075   1.0000692   0.2392964   0.0116895   0.3979564   0.0184075    0.0000005   1.7094803   0.5848438   0.9997408   1.4770965   2.5256257   1.3074710
 0.0028479      0.7177879    0.7177983    0.7178745    0.0000363   0.2860131   0.0059626   0.1719072  -0.0005039   1.5445389   0.0169056   1.0002853   0.2177549   0.0237997   0.3961844   0.0374300    0.0000019   1.7087489   0.5850946   0.9997408   1.4766649   2.5238055   1.3071912
 0.0043435      1.0947558    1.0946855    1.0949385    0.0000790   0.4348672   0.0123526   0.2499985  -0.0017020   1.5501782   0.0169432   1.0006621   0.1979351   0.0363464   0.3952320   0.0570830    0.0000041   1.7074747   0.5855318   0.9997402   1.4759128   2.5206365   1.3067038
 0.0058891      1.4843108    1.4837884    1.4844029    0.0001408   0.5878476   0.0213655   0.3230976  -0.0041667   1.5642188   0.0170538   1.0012146   0.1797200   0.0493127   0.3942990   0.0773730    0.0000073   1.7056091   0.5861732   0.9997381   1.4748110   2.5159986   1.3059897
 0.0074863      1.8868732    1.8850073    1.8862522    0.0002255   0.7446525   0.0327395   0.3913646  -0.0084594   1.5935264   0.0172891   1.0019588   0.1632573   0.0626409   0.3926009   0.0982948    0.0000118   1.7031021   0.5870379   0.9997335   1.4733293   2.5097688   1.3050295
 0.0091369      2.3028773    2.2979473    2.3001874    0.0003419   0.9045432   0.0462754   0.4549607  -0.0151815   1.6468782   0.0177248   1.0029111   0.1488730   0.0762333   0.3894405   0.1198278    0.0000178   1.6999050   0.5881455   0.9997252   1.4714382   2.5018271   1.3038041
 0.0108425      2.7327721    2.7218648    2.7255726    0.0005011   1.0663066   0.0618061   0.5140676  -0.0249272   1.7337139   0.0184518   1.0040874   0.1370118   0.0899528   0.3843203   0.1419332    0.0000261   1.6959738   0.5895153   0.9997118   1.4691103   2.4920646   1.3022956
 0.0126051      3.1770212    3.1556263    3.1613902    0.0007171   1.2283058   0.0790843   0.5688928  -0.0381847   1.8620530   0.0195637   1.0055022   0.1281308   0.1036338   0.3770567   0.1645519    0.0000374   1.6912722   0.5911654   0.9996920   1.4663223   2.4803925   1.3004892
 0.0144266      3.6361040    3.5976921    3.6062217    0.0010051   1.3885608   0.0979660   0.6196787  -0.0553382   2.0364879   0.0211383   1.0071676   0.1225374   0.1170927   0.3678043   0.1876037    0.0000524   1.6857756   0.5931110   0.9996642   1.4630576   2.4667516   1.2983742
